sep=;
Run time (s);Round;Exception;deadline;Agreement;Discounted;#agreeing;min.util.;max.util.;Dist. to Pareto;Dist. to Nash;Social Welfare;Agent 1;Agent 2;Utility 1;Utility 2;Disc. Util. 1;Disc. Util. 2;Perceived. Util. 1;Perceived. Util. 2;Profile 1;Profile 2
4.102;61;;60rounds;Yes;No;2;0.72167;0.97619;0.00000;0.07924;1.69786;BRAMAgent@1266;BRAMAgent@1267;0.7216666666666667;0.9761884907982836;0.7216666666666667;0.9761884907982836;0.0;0.0;party1_utility.xml;party2_utility.xml
2.070;61;;60rounds;Yes;No;2;0.32074;0.93667;0.05136;0.62646;1.25740;KLH@1268;BRAMAgent@1269;0.9366666666666666;0.3207375465597058;0.9366666666666666;0.3207375465597058;0.0;0.0;party1_utility.xml;party2_utility.xml
2.585;55;;60rounds;Yes;No;2;0.84833;0.85649;0.00000;0.09595;1.70482;boa-C..Users.Administrator.eclipse.workspace.masProject.bin.group13.Group13_BS-C..Users.Administrator.eclipse.workspace.masProject.bin.group13.Group13_AS-negotiator.boaframework.opponentmodel.HardHeadedFrequencyModel_l-C..Users.Administrator.eclipse.workspace.masProject.bin.group13.Group13_OMS_t@1270;BRAMAgent@1271;0.8483333333333334;0.8564909885811369;0.8483333333333334;0.8564909885811369;0.8483333333333334;0.0;party1_utility.xml;party2_utility.xml
0.041;61;;60rounds;Yes;No;2;0.65833;0.94015;0.05985;0.12720;1.59848;TheNegotiator@1272;KLH@1273;0.6583333333333334;0.9401512488914268;0.6583333333333334;0.9401512488914268;0.0;0.0;party1_utility.xml;party2_utility.xml
0.048;61;;60rounds;No;No;1;0.00000;0.00000;1.03604;1.21592;0.00000;ValueModelAgent@1274;KLH@1275;0.0;0.0;0.0;0.0;0.0;0.0;party1_utility.xml;party2_utility.xml
0.041;61;;60rounds;No;No;1;0.00000;0.00000;1.03604;1.21592;0.00000;Gahboninho@1276;KLH@1277;0.0;0.0;0.0;0.0;0.0;0.0;party1_utility.xml;party2_utility.xml
2.069;61;;60rounds;Yes;No;2;0.65833;0.94015;0.05985;0.12720;1.59848;BRAMAgent@1278;KLH@1279;0.6583333333333334;0.9401512488914268;0.6583333333333334;0.9401512488914268;0.0;0.0;party1_utility.xml;party2_utility.xml
0.040;61;;60rounds;No;No;1;0.00000;0.00000;1.03604;1.21592;0.00000;KLH@1280;KLH@1281;0.0;0.0;0.0;0.0;0.0;0.0;party1_utility.xml;party2_utility.xml
0.533;59;;60rounds;Yes;No;2;0.72167;0.95238;0.02381;0.06766;1.67404;boa-C..Users.Administrator.eclipse.workspace.masProject.bin.group13.Group13_BS-C..Users.Administrator.eclipse.workspace.masProject.bin.group13.Group13_AS-negotiator.boaframework.opponentmodel.HardHeadedFrequencyModel_l-C..Users.Administrator.eclipse.workspace.masProject.bin.group13.Group13_OMS_t@1282;KLH@1283;0.7216666666666667;0.9523769815965673;0.7216666666666667;0.9523769815965673;0.7216666666666667;0.0;party1_utility.xml;party2_utility.xml
0.479;53;;60rounds;Yes;No;2;0.84833;0.85649;0.00000;0.09595;1.70482;TheNegotiator@1284;boa-C..Users.Administrator.eclipse.workspace.masProject.bin.group13.Group13_BS-C..Users.Administrator.eclipse.workspace.masProject.bin.group13.Group13_AS-negotiator.boaframework.opponentmodel.HardHeadedFrequencyModel_l-C..Users.Administrator.eclipse.workspace.masProject.bin.group13.Group13_OMS_t@1285;0.8483333333333334;0.8564909885811369;0.8483333333333334;0.8564909885811369;0.0;0.8564909885811369;party1_utility.xml;party2_utility.xml
0.554;60;;60rounds;Yes;No;2;0.64973;0.92917;0.02068;0.31390;1.57890;ValueModelAgent@1286;boa-C..Users.Administrator.eclipse.workspace.masProject.bin.group13.Group13_BS-C..Users.Administrator.eclipse.workspace.masProject.bin.group13.Group13_AS-negotiator.boaframework.opponentmodel.HardHeadedFrequencyModel_l-C..Users.Administrator.eclipse.workspace.masProject.bin.group13.Group13_OMS_t@1287;0.9291666666666667;0.6497308213786102;0.9291666666666667;0.6497308213786102;0.0;0.6497308213786102;party1_utility.xml;party2_utility.xml
0.556;61;;60rounds;Yes;No;2;0.29693;1.00000;0.00000;0.66723;1.29693;Gahboninho@1288;boa-C..Users.Administrator.eclipse.workspace.masProject.bin.group13.Group13_BS-C..Users.Administrator.eclipse.workspace.masProject.bin.group13.Group13_AS-negotiator.boaframework.opponentmodel.HardHeadedFrequencyModel_l-C..Users.Administrator.eclipse.workspace.masProject.bin.group13.Group13_OMS_t@1289;1.0;0.2969260373579895;1.0;0.2969260373579895;0.0;0.2969260373579895;party1_utility.xml;party2_utility.xml
2.498;52;;60rounds;Yes;No;2;0.84833;0.85649;0.00000;0.09595;1.70482;BRAMAgent@1290;boa-C..Users.Administrator.eclipse.workspace.masProject.bin.group13.Group13_BS-C..Users.Administrator.eclipse.workspace.masProject.bin.group13.Group13_AS-negotiator.boaframework.opponentmodel.HardHeadedFrequencyModel_l-C..Users.Administrator.eclipse.workspace.masProject.bin.group13.Group13_OMS_t@1291;0.8483333333333334;0.8564909885811369;0.8483333333333334;0.8564909885811369;0.0;0.8564909885811369;party1_utility.xml;party2_utility.xml
0.560;61;;60rounds;Yes;No;2;0.36900;0.93667;0.07533;0.57975;1.30567;KLH@1292;boa-C..Users.Administrator.eclipse.workspace.masProject.bin.group13.Group13_BS-C..Users.Administrator.eclipse.workspace.masProject.bin.group13.Group13_AS-negotiator.boaframework.opponentmodel.HardHeadedFrequencyModel_l-C..Users.Administrator.eclipse.workspace.masProject.bin.group13.Group13_OMS_t@1293;0.9366666666666666;0.3690005211717035;0.9366666666666666;0.3690005211717035;0.0;0.3690005211717035;party1_utility.xml;party2_utility.xml
0.800;48;;60rounds;Yes;No;2;0.84833;0.85649;0.00000;0.09595;1.70482;boa-C..Users.Administrator.eclipse.workspace.masProject.bin.group13.Group13_BS-C..Users.Administrator.eclipse.workspace.masProject.bin.group13.Group13_AS-negotiator.boaframework.opponentmodel.HardHeadedFrequencyModel_l-C..Users.Administrator.eclipse.workspace.masProject.bin.group13.Group13_OMS_t@1294;boa-C..Users.Administrator.eclipse.workspace.masProject.bin.group13.Group13_BS-C..Users.Administrator.eclipse.workspace.masProject.bin.group13.Group13_AS-negotiator.boaframework.opponentmodel.HardHeadedFrequencyModel_l-C..Users.Administrator.eclipse.workspace.masProject.bin.group13.Group13_OMS_t@1295;0.8483333333333334;0.8564909885811369;0.8483333333333334;0.8564909885811369;0.8483333333333334;0.8564909885811369;party1_utility.xml;party2_utility.xml
0.038;56;;60rounds;Yes;No;2;0.78591;0.81500;0.07806;0.14578;1.60091;TheNegotiator@1296;TheNegotiator@1297;0.815;0.785905062151012;0.815;0.785905062151012;0.0;0.0;party1_utility.xml;party2_utility.xml
0.050;60;;60rounds;Yes;No;2;0.73828;0.87833;0.00000;0.21194;1.61662;ValueModelAgent@1298;TheNegotiator@1299;0.8783333333333334;0.7382820437475793;0.8783333333333334;0.7382820437475793;0.0;0.0;party1_utility.xml;party2_utility.xml
0.042;61;;60rounds;Yes;No;2;0.29693;1.00000;0.00000;0.66723;1.29693;Gahboninho@1300;TheNegotiator@1301;1.0;0.2969260373579895;1.0;0.2969260373579895;0.0;0.0;party1_utility.xml;party2_utility.xml
